Datetime,Actual,Predicted,Positive_Deviation,Consecutive_Anomaly,Leakage_Risk,Risk_Score
2020-03-15 18:00:00,2516,2636.525,0.0,0,Normal,0.0
2020-03-15 19:00:00,2755,2640.565,4.333731606682659,0,Normal,12.71
2020-03-15 20:00:00,2474,2535.22,0.0,0,Normal,0.0
2020-03-15 21:00:00,1759,1821.91,0.0,0,Normal,0.0
2020-03-15 22:00:00,1515,1587.615,0.0,0,Normal,0.0
2020-03-15 23:00:00,1412,1473.11,0.0,0,Normal,0.0
2020-03-16 00:00:00,1509,1231.1,22.57330842336123,1,High,71.2
2020-03-16 01:00:00,1136,1028.39,10.463929054152597,0,Normal,30.68
2020-03-16 02:00:00,591,789.46,0.0,1,Normal,5.0
2020-03-16 03:00:00,735,590.05,24.56571476993476,2,High,82.04
2020-03-16 04:00:00,1210,829.475,45.87540311642906,3,Critical,95.0
2020-03-16 05:00:00,1261,1385.58,0.0,0,Normal,0.0
2020-03-16 06:00:00,1896,2203.965,0.0,0,Normal,0.0
2020-03-16 07:00:00,3157,3334.115,0.0,0,Normal,0.0
2020-03-16 08:00:00,3584,3365.045,6.5067480524034575,0,Normal,19.08
2020-03-16 09:00:00,3456,3481.145,0.0,0,Normal,0.0
2020-03-16 10:00:00,3261,3211.685,1.535486823894624,0,Normal,4.5
2020-03-16 11:00:00,3103,3003.575,3.3102219854673245,0,Normal,9.71
2020-03-16 12:00:00,3124,3016.005,3.5807301380468495,0,Normal,10.5
2020-03-16 13:00:00,3024,2972.72,1.7250195107511035,0,Normal,5.06
2020-03-16 14:00:00,2882,2857.905,0.843100103047505,0,Normal,2.47
2020-03-16 15:00:00,2563,2660.43,0.0,0,Normal,0.0
2020-03-16 16:00:00,2488,2475.74,0.49520547391891795,0,Normal,1.45
2020-03-16 17:00:00,2649,2423.435,9.307656281270182,0,Normal,27.29
2020-03-16 18:00:00,2755,2777.85,0.0,0,Normal,0.0
2020-03-16 19:00:00,2924,2928.86,0.0,0,Normal,0.0
2020-03-16 20:00:00,2734,2715.555,0.6792349998435002,0,Normal,1.99
2020-03-16 21:00:00,2185,2150.225,1.6172726110058293,0,Normal,4.74
2020-03-16 22:00:00,1859,1929.515,0.0,0,Normal,0.0
2020-03-16 23:00:00,1459,1542.625,0.0,0,Normal,0.0
2020-03-17 00:00:00,1377,1310.105,5.106079283721533,0,Normal,14.97
2020-03-17 01:00:00,1229,1154.78,6.427198254212926,0,Normal,18.85
2020-03-17 02:00:00,720,857.47,0.0,0,Normal,0.0
2020-03-17 03:00:00,662,657.645,0.6622113754381191,0,Normal,1.94
2020-03-17 04:00:00,1112,1033.585,7.586700658388033,0,Normal,22.25
2020-03-17 05:00:00,1099,1297.09,0.0,0,Normal,0.0
2020-03-17 06:00:00,1580,2026.475,0.0,0,Normal,0.0
2020-03-17 07:00:00,3075,3057.855,0.5606871483441818,0,Normal,1.64
2020-03-17 08:00:00,3496,3281.6,6.533398342272065,0,Normal,19.16
2020-03-17 09:00:00,3706,3405.295,8.830512481297506,0,Normal,25.9
2020-03-17 10:00:00,3721,3300.06,12.755525657109267,0,Warning,37.4
2020-03-17 11:00:00,3445,3365.73,2.355209716762782,0,Normal,6.91
2020-03-17 12:00:00,3471,3119.175,11.27942484791651,0,Warning,33.08
2020-03-17 13:00:00,3442,3188.4,7.953832643332076,0,Normal,23.32
2020-03-17 14:00:00,3024,2914.15,3.769538287322201,0,Normal,11.05
2020-03-17 15:00:00,2380,2713.94,0.0,0,Normal,0.0
2020-03-17 16:00:00,2405,2343.285,2.6336958585916843,0,Normal,7.72
2020-03-17 17:00:00,2667,2476.76,7.6810026001711815,0,Normal,22.52
2020-03-17 18:00:00,2892,2845.015,1.6514851415546186,0,Normal,4.84
